Date,NetFlowUSD
2024-08-19,61980332.245
2024-08-20,88060585.87
2024-08-21,39424994.5
2024-08-22,64907226.31
2024-08-23,251997600.62
2024-08-26,202514843.325
2024-08-27,-127050853.95
2024-08-28,-105188059.92999999
2024-08-29,-71730053.78999999
2024-08-30,-175670694.49
2024-09-03,-287777306.79
2024-09-04,-37287522.35
2024-09-05,-211152972.81000024
2024-09-06,-169970418.8449998
2024-09-09,28719633.590000235
2024-09-10,116960855.49999999
2024-09-11,-43965610.98
2024-09-12,39023926.02499976
2024-09-13,263070113.49
2024-09-16,12904103.89
2024-09-17,186755222.67499998
2024-09-18,-52827023.52
2024-09-19,158211525.6
2024-09-20,91996489.025
2024-09-23,4555875.93
2024-09-24,135948724.26
2024-09-25,105841865.33
2024-09-26,365565988.45000005
2024-09-27,494267716.6499999
2024-09-30,61296621.51
2024-10-01,-242530499.485
2024-10-02,-91763349.35
2024-10-03,-54133020.63999994
2024-10-04,25585851.834999997
2024-10-07,235194873.31499994
2024-10-08,-18663019.16
2024-10-09,-40561873.2
2024-10-10,-120755914.92
2024-10-11,253543914.355
2024-10-14,555859113.78
2024-10-15,371024201.64
2024-10-16,458536071.735
2024-10-17,470479138.98
2024-10-18,273707013.285
2024-10-21,294285419.9
2024-10-22,-79090543.74
2024-10-23,192313193.75
2024-10-24,188111892.76
2024-10-25,402076677.33
2024-10-28,479351551.45
2024-10-29,870023473.1800001
2024-10-30,893211570.0999999
2024-10-31,32140814.224999964
2024-11-01,-54940341.750000075
2024-11-04,-541068862.8249999
2024-11-05,-116901503.38499992
2024-11-06,621899344.62
2024-11-07,1375985491.91
2024-11-08,293474358.79
2024-11-11,1114027499.3000002
2024-11-12,817535039.97
2024-11-13,510109934.27
2024-11-14,-400672193.765
2024-11-15,-370103376.00999993
2024-11-18,254824490.94
2024-11-19,837358509.8549998
2024-11-20,796053552.973
2024-11-21,1004967385.105
2024-11-22,490346944.5500002
2024-11-25,-438383197.7250001
2024-11-26,-122784535.395
2024-11-27,103087404.39
2024-11-29,320006108.68
2024-12-02,353666931.21999997
2024-12-03,675974792.86
2024-12-04,556824638.3199999
2024-12-05,766663223.3250023
2024-12-06,376588835.37999517
2024-12-09,479055535.3000023
2024-12-10,439557953.58
2024-12-11,223028905.775
2024-12-12,597569590.7999976
2024-12-13,428984779.81
2024-12-16,636845161.570005
2024-12-17,493946897.085
2024-12-18,275391380.89999527
2024-12-19,-679995509.7949977
2024-12-20,-276933547.6
2024-12-23,-226558044.91
2024-12-24,-338381263.1
2024-12-26,475150899.13000226
2024-12-27,-297752265.2500045
2024-12-30,-426126986.42499554
2024-12-31,5318057.260000002
2025-01-02,-242296497.7050023
2025-01-03,908098479.245
2025-01-06,987055105.9699976
2025-01-07,52389917.04000237
2025-01-08,-582896929.21
2025-01-10,-149350521.83
2025-01-13,-284190492.98
2025-01-14,-209824169.68
2025-01-15,755013696.4399999
2025-01-16,626150992.67
2025-01-17,1076410739.29
2025-01-21,802496139.31
2025-01-22,248653567.86500245
2025-01-23,188645636.29999757
2025-01-24,517669375.76
2025-01-27,-457475226.69
2025-01-28,18437914.825
2025-01-29,92089472.83
2025-01-30,588224215.39
2025-01-31,318561243.08999306
2025-02-03,-234537561.1
2025-02-04,340815150.7100067
2025-02-05,66376113.8449934
2025-02-06,-140299486.55
2025-02-07,171186343.18500653
2025-02-10,-186277135.15
2025-02-11,-56755705.359993555
2025-02-12,-251025523.3400066
2025-02-13,-157775868.05
2025-02-14,66186495.425006635
2025-02-18,-60634954.72
2025-02-19,-71070931.26
2025-02-20,-364933137.725
2025-02-21,-62772515.2400129
2025-02-24,-538980429.645
2025-02-25,-1138847756.0
2025-02-26,-754525046.7049943
2025-02-27,-275831620.92
2025-02-28,94336134.04
2025-03-03,-74189301.4
2025-03-04,-143433832.10999998
2025-03-05,-38295824.33
2025-03-06,-134261943.145
2025-03-07,-409213077.42
2025-03-10,-369422689.71
2025-03-11,-371002863.425
2025-03-12,13332608.63
2025-03-13,-143298082.3
2025-03-14,32116293.52000001
2025-03-17,274590665.565
2025-03-18,209117235.48
2025-03-19,11798372.74
2025-03-20,165750101.0
2025-03-21,83091868.2
2025-03-24,84173567.21000001
2025-03-25,26834350.91
2025-03-26,89569611.59
2025-03-27,89063833.85999998
2025-03-28,-93157233.675
2025-03-31,-71074972.34
2025-04-01,-157643699.57000002
2025-04-02,220762938.99499997
2025-04-03,-99859088.38
2025-04-04,-64877645.669999994
2025-04-07,-109209809.815
2025-04-08,-326272921.74
2025-04-09,-127121657.74
2025-04-10,-149664572.645
2025-04-11,-1027074.599999999
2025-04-14,1470471.939999996
2025-04-15,76415057.04
2025-04-16,-169867570.37
2025-04-17,107829223.57
2025-04-21,381399377.16
2025-04-22,936433322.75
2025-04-23,916908282.6749938
2025-04-24,441997650.3200063
2025-04-25,379994959.58
2025-04-28,591288600.91
2025-04-29,172781570.075
2025-04-30,-56233632.01499997
2025-05-01,422448326.7800066
2025-05-02,674913599.9999934
2025-05-05,425452985.31
2025-05-06,-85635334.25
2025-05-07,142307651.555
2025-05-08,117461399.29
2025-05-09,334584629.5
2025-05-12,5096682.809999996
2025-05-13,-96142497.0
2025-05-14,319558528.8
2025-05-15,114958483.23
2025-05-16,260266134.59
2025-05-19,667438126.07
2025-05-20,329022102.06
2025-05-21,608993678.8
2025-05-22,934742459.72
2025-05-23,211737424.345
2025-05-27,384852936.96
2025-05-28,432618888.28
2025-05-29,-358653461.615
2025-05-30,-616218414.2
2025-06-02,-267520349.93
2025-06-03,378043221.385
2025-06-04,86921550.95
2025-06-05,-278435958.87
2025-06-06,-47822507.15
2025-06-09,386274141.785
2025-06-10,431120840.62
2025-06-11,164565924.85
2025-06-12,86311350.9
2025-06-13,322602946.3
2025-06-16,412201147.275
2025-06-17,216483836.965
2025-06-18,389567193.85
2025-06-20,6365769.25
2025-06-23,350429240.4150005
2025-06-24,588547154.5349995
2025-06-25,547720695.205
2025-06-26,228150439.23
2025-06-27,501271088.185
2025-06-30,102139223.565
2025-07-01,-342251387.265
2025-07-02,407778961.955
2025-07-03,601937786.79
2025-07-07,216638681.38
2025-07-08,80078975.7
2025-07-09,218040421.155
2025-07-10,1178827866.4
2025-07-11,1029699313.05
2025-07-14,297396370.36
2025-07-15,402994856.445
2025-07-16,799399995.2
2025-07-17,522599551.795
2025-07-18,363454160.365
2025-07-21,-131349096.85
2025-07-22,-67932190.885
2025-07-23,-85962758.04
2025-07-24,226608277.85
2025-07-25,130692903.21
2025-07-28,157021242.475
2025-07-29,79978069.35
2025-07-30,47038253.4
2025-07-31,-114834242.24999999
2025-08-01,-812246966.1
2025-08-04,-333191857.7
2025-08-05,-196178800.0
2025-08-06,91554340.55
2025-08-07,280688452.31
2025-08-08,403881213.6
2025-08-11,178154998.81
2025-08-12,65947428.4
2025-08-13,86914542.82
2025-08-14,230933769.645
2025-08-15,-14129518.99999942
2025-08-18,-121808966.70000115
2025-08-19,-523311423.44
